place_name,topic1,topic2,topic3
제주신영영화박물관 (휴관중),고요한,건강한,감성적인
제주월드컵경기장 세계성문화박물관,고요한,건강한,감성적인
두손지중 박물관,건강한,활기찬,현대적인
용눈이오름,고요한,건강한,감성적인
새별오름,고요한,건강한,감성적인
산굼부리,로맨틱,힐링,건강한
금오름,힐링,건강한,고요한
도두봉,힐링,화려한,인스타감성
어승생,힐링,건강한,고요한
물영아리,건강한,감성적인,고요한
큰노꼬메오름,고요한,건강한,감성적인
영주산,힐링,건강한,아늑한
문도지오름,로맨틱,힐링,건강한
한라산 웃세붉은오름,로맨틱,힐링,건강한
제지기오름,건강한,감성적인,자연친화적인
윗세오름,고요한,감성적인,아이와 함께
큰사슴이오름,스포티한,아늑한,명상적인
단산,힐링,건강한,고요한
개오름,로맨틱,힐링,인스타감성
알오름,힐링,아늑한,자연친화적인
세미양오름,건강한,감성적인,고요한
바굼지오름,로맨틱,힐링,건강한
높은오름,로맨틱,힐링,건강한
삼무공원 배두리오름,로맨틱,힐링,건강한
세미오름,아늑한,감성적인,고요한
바농오름,활기찬,감성적인,자연친화적인
민오름,감성적인,자연친화적인,고요한
거친오름,건강한,고요한,리조트
제주돌문화공원,로맨틱,힐링,건강한
스누피가든,고요한,아늑한,힐링
에코랜드테마파크,건강한,아늑한,감성적인
9.81파크,로맨틱,힐링,건강한
윈드1947카트테마파크,모험적인,감성적인,배움
뽀로로앤타요테마파크 제주,로맨틱,힐링,건강한
메이즈랜드,힐링,건강한,현대적인
김녕미로공원,로맨틱,힐링,건강한
브릭캠퍼스 제주,로맨틱,힐링,건강한
선녀와나무꾼 테마공원,로맨틱,힐링,건강한
제주불빛정원,힐링,화려한,인스타감성
파더스가든,건강한,활기찬,감성적인
루나폴,아이와 함께,분위기,인스타감성
제주레포츠랜드,고요한,모험적인,배움
소인국테마파크,로맨틱,힐링,건강한
일출랜드,로맨틱,힐링,건강한
다이나믹메이즈 제주도성읍점,고요한,건강한,감성적인
제주코코몽에코파크,아늑한,감성적인,인스타감성
서프라이즈테마파크,로맨틱,힐링,건강한
신화테마파크,로맨틱,힐링,건강한
제주센트럴파크,로맨틱,힐링,건강한
신화워터파크,로맨틱,힐링,건강한
노루생태관찰원,모험적인,자연친화적인,배움
산방산랜드,힐링,건강한,활기찬
남원용암해수풀장,고요한,건강한,감성적인
가시리 조랑말체험장,힐링,건강한,아늑한
히어로플레이파크 제주점,고요한,건강한,감성적인
세리월드 카트레이싱,로맨틱,힐링,건강한
무병장수테마파크,건강한,활기찬,감성적인
제주도립미술관,로맨틱,힐링,건강한
김영갑갤러리두모악,감성적인,현대적인,인스타감성
이중섭미술관,고요한,건강한,감성적인
제주현대미술관,로맨틱,힐링,건강한
아르떼뮤지엄 제주,감성적인,화려한,분위기
산지천갤러리,고요한,건강한,감성적인
문화예술 공공수장고,다채로운,아늑한,감성적인
이룸갤러리,아트,모험적인,배움
루나피크닉,현대적인,감성적인,인스타감성
바람섬갤러리,고요한,건강한,감성적인
유퉁의엉터리미술관,고요한,건강한,감성적인
제주러브랜드 백록미술관1관,활기찬,감성적인,분위기
돌미술관,힐링,건강한,현대적인
성수미술관 제주특별점,힐링,건강한,활기찬
하도미술관,건강한,활기찬,감성적인
김한미술관&카페3206,로맨틱,힐링,분위기
초계미술관,로맨틱,힐링,건강한
화실커피 미술관드로잉카페,로맨틱,건강한,힐링
한라수목원,고요한,감성적인,분위기
여미지식물원,로맨틱,힐링,건강한
카멜리아힐,로맨틱,힐링,건강한
한림공원,고요한,건강한,감성적인
마노르블랑,힐링,화려한,분위기
솔트리감성수목원,고요한,자연친화적인,분위기
무명동백수목원,고요한,감성적인,인스타감성
한림공원 야자수길,힐링,건강한,청량한
수목원길야시장,로맨틱,힐링,건강한
한라수목원 온실,아늑한,감성적인,자연친화적인
수목원테마파크 전기차충전소,로맨틱,힐링,건강한
원앤온리,건강한,활기찬,고요한
델문도,로맨틱,힐링,건강한
우무,로맨틱,힐링,건강한
더클리프,고요한,감성적인,분위기
카페나모나모,고요한,감성적인,분위기
오르다,고요한,건강한,감성적인
공백,고요한,감성적인,분위기
몽상드애월,고요한,감성적인,분위기
베케,로맨틱,건강한,힐링
뷰스트,로맨틱,힐링,건강한
아줄레주,로맨틱,힐링,건강한
꽃이피다앤블라썸,건강한,활기찬,고요한
커피파인더,로맨틱,힐링,건강한
허니문하우스,도시적인,감성적인,분위기
커피스케치,힐링,건강한,활기찬
우무 2호점,로맨틱,힐링,건강한
마음에온 (공사중),고요한,감성적인,분위기
썬셋클리프,로맨틱,힐링,건강한
카페한라산,고요한,감성적인,분위기
본카페 애월,로맨틱,힐링,건강한
당당,분위기,감성적인,인스타감성
돌카롱 제주공항점,로맨틱,힐링,건강한
스타벅스 제주용담DT점,로맨틱,힐링,건강한
제주워터월드,로맨틱,힐링,건강한
월정뷰게스트하우스&코난해변물놀이용품대여점,건강한,힐링,감성적인
라마다프라자 제주호텔,로맨틱,힐링,건강한
소노캄 제주,힐링,건강한,로맨틱
롯데호텔 제주,힐링,건강한,활기찬
머큐어앰배서더 제주,활기찬,감성적인,로맨틱
금호제주리조트,고요한,건강한,감성적인
메종글래드제주,로맨틱,힐링,건강한
김녕해수욕장,건강한,활기찬,감성적인
롯데시티호텔 제주,건강한,감성적인,로맨틱
호텔리젠트마린,아늑한,감성적인,청량한
곽지해수욕장,활기찬,모험적인,배움
광치기해변,활기찬,감성적인,고요한
골든튤립제주성산호텔,힐링,건강한,활기찬
황우지해안,로맨틱,힐링,건강한
탐라스테이호텔제주,로맨틱,힐링,건강한
캠퍼트리 호텔앤리조트,로맨틱,건강한,힐링
제주신화월드 서머셋,로맨틱,힐링,건강한
휘슬락호텔,고요한,건강한,감성적인
블루하와이리조트,로맨틱,힐링,건강한
아이브리조트,건강한,활기찬,감성적인
제주신화월드 신화관,로맨틱,힐링,건강한
까사로마호텔,로맨틱,힐링,건강한
도두봉실내수영장,힐링,건강한,고요한
제주종합경기장 실내수영장,로맨틱,힐링,건강한
서귀포 홍리실내수영장,로맨틱,힐링,건강한
유한실내수영장,로맨틱,힐링,건강한
풀스토리,고요한,건강한,감성적인
신천올레해수풀장,건강한,활기찬,로맨틱
더제이풀,건강한,감성적인,로맨틱
외도실내수영장,로맨틱,힐링,건강한
화순금모래해수욕장 수영장,힐링,건강한,로맨틱
산지물물놀이장,현대적인,리조트,배움
마이테르 수영장,감성적인,로맨틱,인스타감성
옹포천 어울공원 수영장,힐링,로맨틱,인스타감성
휘닉스제주섭지코지 수영장,감성적인,로맨틱,분위기
메종글래드제주 더파티오풀,힐링,건강한,로맨틱
피크포인트,감성적인,로맨틱,분위기
히든클리프호텔&네이쳐,힐링,건강한,로맨틱
제주신라호텔,감성적인,모험적인,분위기
코업시티호텔 하버뷰,로맨틱,힐링,건강한
화조원,로맨틱,힐링,인스타감성
캐니언파크 제주점,고요한,건강한,감성적인
새별프렌즈,고요한,건강한,감성적인
라온쥬,모험적인,아이와 함께,배움
개똥이동물원,로맨틱,힐링,건강한
돈키쥬쥬,로맨틱,힐링,건강한
미술관옆동물농장,건강한,아늑한,감성적인
재리쥬 2호점,건강한,감성적인,아이와 함께
더마파크,감성적인,화려한,분위기
조랑말체험공원,감성적인,아늑한,분위기
탐라승마장,로맨틱,힐링,건강한
제주승마공원,고요한,건강한,자연친화적인
쇠와꽃승마장,힐링,활기찬,감성적인
홀스스토리승마장,로맨틱,힐링,건강한
OK승마장,고요한,건강한,감성적인
조은승마장,힐링,건강한,활기찬
운주승마클럽,모험적인,감성적인,배움
브리더스파크 희망홀스승마클럽,건강한,스포티한,아늑한
노을승마장,힐링,건강한,활기찬
동부레저,고요한,건강한,감성적인
탑승마클럽,고요한,건강한,감성적인
휴애리자연생활공원,고요한,아늑한,힐링
환상숲곶자왈공원,고요한,건강한,자연친화적인
노리매,로맨틱,힐링,인스타감성
신산공원,자연친화적인,아늑한,고요한
삼무공원,고요한,아늑한,힐링
도두봉공원,로맨틱,힐링,건강한
삼다공원,힐링,건강한,청량한
사라봉공원,로맨틱,힐링,건강한
하모체육공원,로맨틱,힐링,건강한
신화역사공원,고요한,건강한,자연친화적인
새섬공원,고요한,건강한,감성적인
제주밭담테마공원,로맨틱,힐링,건강한
제주돌마을공원,고요한,건강한,감성적인
삼다체육공원,활기찬,감성적인,청량한
제주생활체육공원,건강한,감성적인,청량한
첨단제5근린공원,고요한,건강한,감성적인
해거름마을공원,로맨틱,힐링,건강한
용담공원,고요한,아늑한,힐링
흐린내생태공원,아늑한,청량한,자연친화적인
서복공원,로맨틱,힐링,건강한
송악공원,로맨틱,힐링,인스타감성
태흥2리체육공원,로맨틱,힐링,건강한
